domain,type,sponsor
‏.ایران‎,country-code,Institute for Research in Fundamental Sciences (IPM)
‏.العليان‎,generic,Crescent Holding GmbH
‏.امارات‎,country-code,Telecommunications Regulatory Authority (TRA)
‏.بازار‎,generic,CORE Association
‏.پاکستان‎,country-code,Not assigned
‏.الاردن‎,country-code,National Information Technology Center (NITC)
‏.موبايلي‎,generic,GreenTech Consultancy Company W.L.L.
‏.بھارت‎,country-code,National Internet Exchange of India
‏.المغرب‎,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
‏.ابوظبي‎,generic,Abu Dhabi Systems and Information Centre
‏.السعودية‎,country-code,Communications and Information Technology Commission
‏.سودان‎,country-code,Sudan Internet Society
‏.همراه‎,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
‏.عراق‎,country-code,Communications and Media Commission (CMC)
‏.مليسيا‎,country-code,MYNIC Berhad
.澳門,country-code,Bureau of Telecommunications Regulation (DSRT)
.닷컴,generic,VeriSign Sarl
.政府,generic,"Net-Chinese Co., Ltd."
‏.شبكة‎,generic,International Domain Registry Pty. Ltd.
‏.بيتك‎,generic,Kuwait Finance House
.გე,country-code,Information Technologies Development Center (ITDC)
.机构,generic,Public Interest Registry
.组织机构,generic,Public Interest Registry
.健康,generic,Stable Tone Limited
.ไทย,country-code,Thai Network Information Center Foundation
‏.سورية‎,country-code,National Agency for Network Services (NANS)
.рус,generic,Rusnames Limited
.рф,country-code,Coordination Center for TLD RU
.珠宝,generic,Richemont DNS Inc.
‏.تونس‎,country-code,Agence Tunisienne d'Internet
.大拿,generic,VeriSign Sarl
.みんな,generic,Charleston Road Registry Inc.
.グーグル,generic,Charleston Road Registry Inc.
.ελ,country-code,ICS-FORTH GR
.世界,generic,Stable Tone Limited
.書籍,generic,Amazon EU S.à r.l.
.ഭാരതം,country-code,Not assigned
.ਭਾਰਤ,country-code,National Internet Exchange of India
.网址,generic,"KNET Co., Ltd"
.닷넷,generic,VeriSign Sarl
.コム,generic,VeriSign Sarl
.游戏,generic,"Spring Fields, LLC"
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
.企业,generic,"Dash McCook, LLC"
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd."
.嘉里大酒店,generic,Kerry Trading Co. Limited
‏.مصر‎,country-code,National Telecommunication Regulatory Authority - NTRA
‏.قطر‎,country-code,Communications Regulatory Authority
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
.இலங்கை,country-code,LK Domain Registry
.இந்தியா,country-code,National Internet Exchange of India
.հայ,country-code,"""Internet Society"" Non-governmental Organization"
.新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
‏.فلسطين‎,country-code,Ministry of Telecom & Information Technology (MTIT)
.テスト,test,Internet Assigned Numbers Authority
.政务,generic,China Organizational Name Administration Center
.xperia,generic,Sony Mobile Communications AB
.xxx,sponsored,ICM Registry LLC
.xyz,generic,XYZ.COM LLC
.yachts,generic,"DERYachts, LLC"
.yahoo,generic,Yahoo! Domain Services Inc.
.yamaxun,generic,"Amazon Registry Services, Inc."
.yandex,generic,"YANDEX, LLC"
.ye,country-code,TeleYemen
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD."
.yoga,generic,Top Level Domain Holdings Limited
.yokohama,generic,"GMO Registry, Inc."
.you,generic,"Amazon Registry Services, Inc."
.youtube,generic,Charleston Road Registry Inc.
.yt,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.yun,generic,QIHOO 360 TECHNOLOGY CO. LTD.
.za,country-code,ZA Domain Name Authority
.zara,generic,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
.zero,generic,"Amazon Registry Services, Inc."
.zip,generic,Charleston Road Registry Inc.
.zm,country-code,Zambia Information and Communications Technology Authority (ZICTA)
.zone,generic,"Outer Falls, LLC"
.zuerich,generic,Kanton Zürich (Canton of Zurich)
.zw,country-code,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
